"Question", "Answer"
"What is quantum mechanics?", "The physics of matter and energy at atomic and subatomic scales."
"What is the capital of France?", "Paris is the capital and largest city of France."
"Define photosynthesis", "The process by which plants convert light energy into chemical energy."
"Who wrote Hamlet?", "William Shakespeare wrote Hamlet around 1600."
"What is the speed of light?", "Approximately 299,792,458 meters per second in a vacuum."
"Explain recursion", "A programming technique where a function calls itself."
"What is π (pi)?", "The ratio of a circle\'s circumference to its diameter, approximately 3.14159."
"Define entropy", "A measure of disorder or randomness in a system."
"What is DNA?", "Deoxyribonucleic acid, the molecule carrying genetic instructions."
"Who painted the Mona Lisa?", "Leonardo da Vinci painted it in the early 16th century."
"What is the Pythagorean theorem?", "a² + b² = c² for right-angled triangles."
"Define machine learning", "Computer systems that learn from data without explicit programming."
